name,price,fuel,km_driven,year
BMW SERIA 3 2.0 L,31.490 EUR,Hybrid (benz),73.888Km,2022
BMW SERIA 5 520,37.900 EUR,Diesel,42.135Km,2022
BMW SERIA 5 2.0 L,35.500 EUR,Hybrid (benz),100.680Km,2020
MERCEDES BENZ CLASA C 220 D,45.900 EUR,Hybrid (diesel),31.956Km,2023
MERCEDES BENZ CLASA E 300,34.990 EUR,Hybrid Plug-In (benz),105.431Km,2020
VOLVO S90 2.0 D,25.990 EUR,Diesel,97.011Km,2018
MERCEDES BENZ CLA 180,26.990 EUR,Benzina,92.628Km,2021
BMW SERIA 3 330 E M SPORT,27.990 EUR,Hybrid Plug-In (benz),100.228Km,2020
BMW SERIA 3 318D,22.400 EUR,Diesel,75.880Km,2020
MERCEDES BENZ GLC 300 DE 4M,39.990 EUR,Hybrid (diesel),64.725Km,2021
FORD TRANSIT CUSTOM 2.0 D,16.800 EUR,Diesel,102.101Km,2019
BMW SERIA 5 3.0 D,36.900 EUR,Hybrid (diesel),89.714Km,2022
SKODA SUPERB 1.4 L,22.500 EUR,Hybrid (benz),115.055Km,2020
BMW X3 2.0 L,30.900 EUR,Benzina,107.932Km,2020
BMW SERIA 3 2.0 L,23.990 EUR,Benzina,76.899Km,2021
BMW SERIA 3 2.0 L,26.400 EUR,Hybrid (benz),75.398Km,2021
MERCEDES BENZ CLASA A 200 D,14.990 EUR,Diesel,90.779Km,2016
DACIA DUSTER 1.5 D,15.400 EUR,Diesel,101.721Km,2020
MERCEDES BENZ CLASA E 300,33.900 EUR,Benzina,95.308Km,2022
VOLVO V60 2.0 L,17.990 EUR,Benzina,173.692Km,2020
BMW X1 1.5 L,23.900 EUR,Hybrid Plug-In (benz),92.908Km,2020
FORD TRANSIT CUSTOM 2.0 D,15.300 EUR,Diesel,153.893Km,2020
FORD TRANSIT CUSTOM 2.0 D,17.990 EUR,Diesel,90.419Km,2021
BMW SERIA 5 520D,38.400 EUR,Diesel,108.870Km,2023
VOLKSWAGEN ARTEON 2.0 D,22.990 EUR,Diesel,120.148Km,2019
KIA XCEED 1.6 L,19.990 EUR,Hybrid (benz),37.607Km,2022
MERCEDES BENZ E 300,39.990 EUR,Hybrid (benz),83.401Km,2022
SKODA KODIAQ 1.5 L,29.990 EUR,Benzina,34.380Km,2023
FORD EXPLORER 3.0 L,39.990 EUR,Hybrid Plug-In (benz),94.157Km,2021
BMW X5 XDRIVE 45 E,57.100 EUR,Hybrid Plug-In (benz),101.625Km,2020
BMW SERIA 3 2.0 D,24.900 EUR,Hybrid (diesel),99.518Km,2022
SKODA SUPERB 1.4 L,20.900 EUR,Hybrid (benz),116.983Km,2020
BMW SERIA 3 320i,25.990 EUR,Benzina,91.209Km,2020
MERCEDES BENZ CLASA E 200 4MATIC Limuzina,30.490 EUR,Benzina,115.207Km,2018
BMW SERIA 5 2.0 D,26.400 EUR,Diesel,166.769Km,2020
BMW SERIA 3 330 E,25.990 EUR,Hybrid Plug-In (benz),112.825Km,2021
MERCEDES BENZ GLC 300 E AMG LINE,44.990 EUR,Diesel,98.238Km,2021
BMW X3 2.0 L,29.190 EUR,Hybrid Plug-In (benz),122.969Km,2020
BMW SERIA 5 2.0 L,35.990 EUR,Hybrid (benz),43.278Km,2020
MERCEDES BENZ CLASA GLE 350DE,49.500 EUR,Hybrid Plug-In (diesel),123.411Km,2022
DACIA DUSTER 1.6 D,17.250 EUR,Diesel,38.109Km,2020
MERCEDES BENZ CLASA GLC 300 DE,39.990 EUR,Hybrid Plug-In (diesel),103.905Km,2022
FORD TRANSIT CUSTOM 2.0 D,16.500 EUR,Diesel,188.619Km,2022
RENAULT MEGANE 1.5 D,12.990 EUR,Diesel,72.217Km,2020
MERCEDES BENZ CLASA A 35 AMG 4M,35.990 EUR,Benzina,61.182Km,2021
BMW SERIA 7 745LE,59.990 EUR,Hybrid Plug-In (benz),53.917Km,2021
BMW X5 40i,40.900 EUR,Benzina,135.681Km,2020
FORD TRANSIT CUSTOM 2.0 D,17.990 EUR,Diesel,99.259Km,2021
FORD TRANSIT CUSTOM 2.0 D,17.990 EUR,Diesel,131.991Km,2021
VOLVO S90 2.0 D,20.900 EUR,Diesel,186.815Km,2019
RENAULT MEGANE 1.5 L,10.900 EUR,Diesel,117.963Km,2018
PEUGEOT 508 2.0 L,17.990 EUR,Benzina,26.740Km,2022
MERCEDES BENZ SPRINTER,22.500 EUR,Diesel,118.774Km,2021
TOYOTA RAV 4 2.5 Plug-In Hybrid,30.900 EUR,Hybrid Plug-In (benz),105.861Km,2020
AUDI A6 45 TFSI 245 Quattro,28.990 EUR,Benzina,96.560Km,2019
BMW X5 3.0 D,20.900 EUR,Diesel,141.971Km,2014
VOLKSWAGEN PASSAT 1.4 L,17.500 EUR,Hybrid Plug-In (benz),121.473Km,2019
VOLKSWAGEN PASSAT 1.4 L,17.500 EUR,Hybrid (benz),122.319Km,2019
MERCEDES BENZ CLASA C COUPE 200,26.500 EUR,Benzina,62.744Km,2018
HYUNDAI i10 1.0 L,9.500 EUR,Benzina,53.610Km,2021
MERCEDES BENZ CLASA C 200,26.500 EUR,Hybrid (benz),109.157Km,2018
BMW SERIA 5 2.0 L,25.900 EUR,Hybrid (benz),104.580Km,2021
VOLVO XC 90 2.0 D,31.990 EUR,Diesel,124.139Km,2018
BMW X3 2.0 D,24.900 EUR,Diesel,165.256Km,2018
TOYOTA COROLLA 1.8 L,31.800 EUR,Hybrid (benz),32.171Km,2024
MERCEDES BENZ CLASA GLE 2.0 D,51.900 EUR,Hybrid Plug-In (diesel),132.592Km,2020
